location_id,is_location_exact,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,Rank
38840597,t,"Parempuyre, Nouvelle-Aquitaine, France",,Parempuyre,Parempuyre,Parempuyre,Nouvelle-Aquitaine,33290,NULL,NULL,FR,France,44.94381,-0.60436,1
38838780,t,"Pessac, Nouvelle-Aquitaine, France",,Brivazac-Candau,Pessac,Pessac,Nouvelle-Aquitaine,33600,NULL,NULL,FR,France,44.80058,-0.61038,2
38828970,t,"MÃ©rignac, Nouvelle-Aquitaine, France",,Chemin Long,Merignac,MÃ©rignac,Nouvelle-Aquitaine,33700,NULL,NULL,FR,France,44.82228,-0.65762,3
38819839,f,"Bouliac, Nouvelle-Aquitaine, France",,Bouliac,Bouliac,Bouliac,Nouvelle-Aquitaine,33270,NULL,NULL,FR,France,44.81799,-0.50754,4
38818563,t,"BÃ¨gles, Nouvelle-Aquitaine, France",,Villenave-d'Ornon,Villenave-d'Ornon,BÃ¨gles,Nouvelle-Aquitaine,33140,NULL,NULL,FR,France,44.79497,-0.56789,5
37935926,t,"Berlin, Berlin, Germany",Adlershof,Adlershof,Treptow - KÃ¶penick,Berlin,Berlin,12489,NULL,NULL,DE,Germany,52.43282,13.52763,1
37707025,f,"Berlin, Berlin, Germany",Adlershof,Adlershof,Treptow - KÃ¶penick,Berlin,Berlin,12489,NULL,NULL,DE,Germany,52.4376,13.5463,2
36842111,t,"Berlin, Berlin, Germany",Adlershof,Adlershof,Treptow - KÃ¶penick,Berlin,Berlin,12489,NULL,NULL,DE,Germany,52.43339,13.53847,3
36831368,t,"Berlin, Berlin, Germany",Adlershof,Adlershof,Treptow - KÃ¶penick,Berlin,Berlin,12489,NULL,NULL,DE,Germany,52.43422,13.5408,4
36508433,t,"Berlin, Berlin, Germany",Adlershof,Adlershof,Treptow - KÃ¶penick,Berlin,Berlin,12489,NULL,NULL,DE,Germany,52.43715,13.54047,5
38109259,t,"Berlin, Berlin, Germany",Alt-HohenschÃ¶nhausen,Alt-HohenschÃ¶nhausen Nord,Lichtenberg,Berlin,Berlin,13055,NULL,NULL,DE,Germany,52.54783,13.50036,1
37746012,t,"Berlin, Berlin, Germany",Alt-HohenschÃ¶nhausen,Alt-HohenschÃ¶nhausen SÃ¼d,Lichtenberg,Berlin,Berlin,13055,NULL,NULL,DE,Germany,52.5348,13.48575,2
37667025,t,"Berlin, Berlin, Germany",Alt-HohenschÃ¶nhausen,Alt-HohenschÃ¶nhausen SÃ¼d,Lichtenberg,Berlin,Berlin,13055,NULL,NULL,DE,Germany,52.53499,13.49199,3
37555246,f,"Berlin, Berlin, Germany",Alt-HohenschÃ¶nhausen,Alt-HohenschÃ¶nhausen SÃ¼d,Lichtenberg,Berlin,Berlin,10369,NULL,NULL,DE,Germany,52.53491,13.47588,4
37281205,f,"Berlin, Berlin, Germany",Alt-HohenschÃ¶nhausen,Alt-HohenschÃ¶nhausen SÃ¼d,Lichtenberg,Berlin,Berlin,13055,NULL,NULL,DE,Germany,52.54121,13.49014,5
38502596,t,"Berlin, Berlin, Germany",Alt-Treptow,Alt  Treptow,Treptow - KÃ¶penick,Berlin,Berlin,12435,NULL,NULL,DE,Germany,52.49632,13.45275,1
38388062,t,"Berlin, Berlin, Germany",Alt-Treptow,Alt  Treptow,Treptow - KÃ¶penick,Berlin,Berlin,12435,NULL,NULL,DE,Germany,52.49113,13.44712,2
38352681,t,"Berlin, Berlin, Germany",Alt-Treptow,Alt  Treptow,Treptow - KÃ¶penick,Berlin,Berlin,12435,NULL,NULL,DE,Germany,52.49126,13.44969,3
