id,list_id,listing_url,scrape_id,last_scraped,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_id,neighbourhood_id,url_id,location_id,property_id,avail_id,review_score_id,house_rules,interaction,access,name,summary,space,experiences_offered,notes,transit,description,Rank
245991,245991,https://www.airbnb.com/rooms/245991,245991,19-09-2019,f,f,2,2,0,0,0,1290112,245991,245991,245991,245991,245991,245991,"Haustier auf Anfrage   Saunanutzung  (pro Person und Tag mit WÃ¤sche) 7,- Euro  Kaution: 1 Monatsmiete 5% CityTax Strom- und Wasserkosten nach Verbrauch Das Apartment muss, wie es auch beim Einzug war, ganz sauber Ã¼bergeben werden; ansonsten 50 â‚¬ ReinigungsgebÃ¼hren!","I leave my guests free space, but I am available for questions.",,World stroller's club 2,,"The 39-square meter apartments are self contained. In each apartment, we can accommodate 1 to 4 persons, additional persons on request. By the staircase to get into the second Floor in the converted attic with four dormers and a good outlook. Both homes have blinds to darken. A garden use including seating is available, sauna NEW. The apartments are located in the characteristic one, or two-family house area in the district KonradshÃ¶he Reinickendorf. From here you can enjoy long walks through the Tegeler forest and run the water in nearby Lake Tegel. Bicycles are available. With more experience we will be happy to help and support. With just a few steps away from grocery stores, a bakery, a florist, doctors, a pharmacy and a gas station. In about 10 minutes you are at Tegel. There you have the versatility of the shopping, entertainment and gastronomy. Towels & bed linen are included in the price. Electricity, water and CityTax according to your own consumption.",none,,The bus runs around the clock. Plans with the departure times depend on.,"The 39-square meter apartments are self contained. In each apartment, we can accommodate 1 to 4 persons, additional persons on request. By the staircase to get into the second Floor in the converted attic with four dormers and a good outlook. Both homes have blinds to darken. A garden use including seating is available, sauna NEW. The apartments are located in the characteristic one, or two-family house area in the district KonradshÃ¶he Reinickendorf. From here you can enjoy long walks through the Tegeler forest and run the water in nearby Lake Tegel. Bicycles are available. With more experience we will be happy to help and support. With just a few steps away from grocery stores, a bakery, a florist, doctors, a pharmacy and a gas station. In about 10 minutes you are at Tegel. There you have the versatility of the shopping, entertainment and gastronomy. Towels & bed linen are included in the price. Electricity, water and CityTax according to your own consumption. I leave my guests free s",1
246007,246007,https://www.airbnb.com/rooms/246007,246007,19-09-2019,f,f,2,2,0,0,0,1290112,246007,246007,246007,246007,246007,246007,"1 Monatsmiete Kaution 1 month rent deposit Saunanutzung (pro Person und Tag mit WÃ¤sche)     7,- Euro Sauna use (per person per day with clothes) 7, - â‚¬","I leave my guests free space, but I am available for questions.",,World stroller's club 1,,"The 39-square meter apartments are self contained. In each apartment, we can accommodate 1 to 4 persons, additional persons on request. By the staircase to get into the second Floor in the converted attic with four dormers and a good outlook. Both homes have blinds to darken. A garden use including seating is available, the sauna is still NEW. Towels & bed linen are included in the price. Electricity, water and CityTax according to your own consumption. The apartments are located in the characteristic one, or two-family house area in the district KonradshÃ¶he Reinickendorf. From here you can enjoy long walks through the Tegeler forest and run the water in nearby Lake Tegel. Bicycles are available. With more experience we will be happy to help and support. With just a few steps away from grocery stores, a bakery, a florist, doctors, a pharmacy and a gas station. In about 10 minutes you are at Tegel. There you have the versatility of the shopping, entertainment and gastronomy.",none,The apartment is handed over in the cleaned state at the exit.,The bus connection (plan depends) is around the clock. Parking is available in front of the property.,"The 39-square meter apartments are self contained. In each apartment, we can accommodate 1 to 4 persons, additional persons on request. By the staircase to get into the second Floor in the converted attic with four dormers and a good outlook. Both homes have blinds to darken. A garden use including seating is available, the sauna is still NEW. Towels & bed linen are included in the price. Electricity, water and CityTax according to your own consumption. The apartments are located in the characteristic one, or two-family house area in the district KonradshÃ¶he Reinickendorf. From here you can enjoy long walks through the Tegeler forest and run the water in nearby Lake Tegel. Bicycles are available. With more experience we will be happy to help and support. With just a few steps away from grocery stores, a bakery, a florist, doctors, a pharmacy and a gas station. In about 10 minutes you are at Tegel. There you have the versatility of the shopping, entertainment and gastronomy. I leave my ",1
1733772,1733772,https://www.airbnb.com/rooms/1733772,1733772,14-09-2019,f,f,1,1,0,0,1,9133729,1733772,1733772,1733772,1733772,1733772,1733772,Please do not wear shoes in the house. Thank you.,"I'll be in France this summer, but you can always mail or call me.","The garden is a shared one, so you can't sit there,but you can sit on the terraces.",HOUSEBOAT IN NATURE 15 MIN FROM CS!,"My comfortable houseboat lies in the middle of nature, at 15 minutes bij bus or bycicle from the Central Station. It has all the modern comforts, like central heating, bath, flatscreen tv, wifi.There's a big garden, free parking, is near a17th century dike and is in Amsterdam north: very quiet and beautiful country nearby.","There's great views of the wide canal, the forest opposite and, ofcourse, the garden. It is very quiet.",none,I've lived here for 22 years and still love it! It's very nice and quiet.,"Nearby is bus 32, 15 minutes to the Central Station. The country beyond: WATERLAND is very prety and has many byciclepaths.","My comfortable houseboat lies in the middle of nature, at 15 minutes bij bus or bycicle from the Central Station. It has all the modern comforts, like central heating, bath, flatscreen tv, wifi.There's a big garden, free parking, is near a17th century dike and is in Amsterdam north: very quiet and beautiful country nearby. There's great views of the wide canal, the forest opposite and, ofcourse, the garden. It is very quiet. The garden is a shared one, so you can't sit there,but you can sit on the terraces. I'll be in France this summer, but you can always mail or call me. The new filmmuseum EYE is near,  Waterland, with great authentic villages is just around the corner. It's a 5 minute walk to the 17th century dike and one of the oldest pubs in Amsterdam.  Nearby is bus 32, 15 minutes to the Central Station. The country beyond: WATERLAND is very prety and has many byciclepaths. I've lived here for 22 years and still love it! It's very nice and quiet.",1
5822783,5822783,https://www.airbnb.com/rooms/5822783,5822783,19-09-2019,f,f,1,1,0,0,0,3046997,5822783,5822783,5822783,5822783,5822783,5822783,We do not allow big crazy parties. This is a family and more quiet place. Please donÂ´t smoke in our rooms. (We have a nice balcony.),"We do not interact with our guests a lot, because we are not in town. But we will prepare everything very well and you have a local contact for large and small emergencies.","You hace access to W-Lan, bathtub and bicycles, if you want. If you need something, please tell us.",Four delicious rooms (Berlin-Buch),"Our apartement is fully furnished and located in a former Psychiatry. We rent it while we are on the road travelling. ItÂ´s a cozy place in the northern Berlin, surrounded by trees and little lakes. From here to cityÂ´s center it takes you 20 minutes.","We live in a recently modernized former Psychiatry in the north of Berlin (Ludwig-Hoffmann-Quartier). From our apartment door to the next S-Bahn-station ""Buch"" takes a five-minutes-walk. From ""Buch"" to the city centre itÂ´s another 20 minutes. If you like it quiet, you can easily walk within five minutes through woods and meadows.",none,,S-Bahn Berlin-Buch,"Our apartement is fully furnished and located in a former Psychiatry. We rent it while we are on the road travelling. ItÂ´s a cozy place in the northern Berlin, surrounded by trees and little lakes. From here to cityÂ´s center it takes you 20 minutes. We live in a recently modernized former Psychiatry in the north of Berlin (Ludwig-Hoffmann-Quartier). From our apartment door to the next S-Bahn-station ""Buch"" takes a five-minutes-walk. From ""Buch"" to the city centre itÂ´s another 20 minutes. If you like it quiet, you can easily walk within five minutes through woods and meadows. You hace access to W-Lan, bathtub and bicycles, if you want. If you need something, please tell us. We do not interact with our guests a lot, because we are not in town. But we will prepare everything very well and you have a local contact for large and small emergencies. Buch has a history as a location for health. Lots of people work in the larger hospitals here. ItÂ´s old city is tiny. Next to the castle park you",1
6343271,6343271,https://www.airbnb.com/rooms/6343271,6343271,14-09-2019,f,f,1,1,0,0,0,9281995,6343271,6343271,6343271,6343271,6343271,6343271,"Fully enjoy the opportunities of this spacious apartment, and take good love and care in keeping it as you found it.",You will have the apartment for yourself while I will be out of town. I will make sure someone will host you and get you on your way for a nice stay.,"You will have access to Wifi, a washing- and dishwashing machine and possibly a bike.",Artist home,"Artist home alongside the IJ, near the forest and the polders. A 15 min. bike ride to the city centre.","The apartment is a spacious artist home with summer sunset view. The location is ideal to provide a holiday close to the city centre of Amsterdam. You profit the tranquility of the North side of the city, and in 15 minutes or so you are in the city centre to check out the highlights there. The North of Amsterdam is a upcoming area where lots of creative venues are arising, super nice to visit!",none,,"There is a bus station, a 5 min. walk from the apartment, which takes you to central station in two stops.","Artist home alongside the IJ, near the forest and the polders. A 15 min. bike ride to the city centre. The apartment is a spacious artist home with summer sunset view. The location is ideal to provide a holiday close to the city centre of Amsterdam. You profit the tranquility of the North side of the city, and in 15 minutes or so you are in the city centre to check out the highlights there. The North of Amsterdam is a upcoming area where lots of creative venues are arising, super nice to visit! You will have access to Wifi, a washing- and dishwashing machine and possibly a bike. You will have the apartment for yourself while I will be out of town. I will make sure someone will host you and get you on your way for a nice stay. Alongside the water, which always calms me down. The ferries that bring you to the city centre are nice and idyllic. You can make a stroll through the forest and meet nice creatives in and around the building. There is a bus station, a 5 min. walk from the apartme",1
6847300,6847300,https://www.airbnb.com/rooms/6847300,6847300,19-09-2019,f,f,1,1,0,0,0,35879715,6847300,6847300,6847300,6847300,6847300,6847300,,Wir stehen tagsÃ¼ber telefonisch gerne zur VerfÃ¼gung.,Zugang zu allen Bereichen der Wohnung und der gesamten Aussenanlage des GelÃ¤ndes.,Extraklasse im grÃ¼nen Berliner NO,"125 qm (4 Zimmer), Bad (Dusche und Badewanne, 2 Waschbecken), GÃ¤ste WC mit Waschmaschine, hochwertige offene KÃ¼che, mit zwei GÃ¤rten in der denkmalgeschÃ¼tzen Anlage AllÃ©es des ChÃ¢teaux. Mit Auto oder S-Bahn nur 25 min vom Stadtzentrum entfernt.","Vollsanierter Altbau einer ehemaligen Krankenhausanlage. (Hidden by Airbnb) : ""allÃ©es des chÃ¢teaux"" gibt alle Informationen zur Anlage.",none,,Parken direkt auf dem GelÃ¤nde (Stellplatz Nr. 58 oder auf freien PlÃ¤tzen). Bus (tagsÃ¼ber) zum Sâ€“Bahnhof Berlinâ€“Buch oder ca. 20 min zu FuÃŸ. Taxis am Sâ€“Bahnhof oder bequem Ã¼ber Taxiruf.,"125 qm (4 Zimmer), Bad (Dusche und Badewanne, 2 Waschbecken), GÃ¤ste WC mit Waschmaschine, hochwertige offene KÃ¼che, mit zwei GÃ¤rten in der denkmalgeschÃ¼tzen Anlage AllÃ©es des ChÃ¢teaux. Mit Auto oder S-Bahn nur 25 min vom Stadtzentrum entfernt. Vollsanierter Altbau einer ehemaligen Krankenhausanlage. (Hidden by Airbnb) : ""allÃ©es des chÃ¢teaux"" gibt alle Informationen zur Anlage. Zugang zu allen Bereichen der Wohnung und der gesamten Aussenanlage des GelÃ¤ndes. Wir stehen tagsÃ¼ber telefonisch gerne zur VerfÃ¼gung. Ruhe in Berlin â€“ ein Ort der Entspannung in einer der schÃ¶nsten StÃ¤dte der Welt. Parken direkt auf dem GelÃ¤nde (Stellplatz Nr. 58 oder auf freien PlÃ¤tzen). Bus (tagsÃ¼ber) zum Sâ€“Bahnhof Berlinâ€“Buch oder ca. 20 min zu FuÃŸ. Taxis am Sâ€“Bahnhof oder bequem Ã¼ber Taxiruf.",1
9348447,9348447,https://www.airbnb.com/rooms/9348447,9348447,19-09-2019,f,f,1,1,0,0,1,48516335,9348447,9348447,9348447,9348447,9348447,9348447,Im RÃ¤umlichkeiten nicht rauchen !.Keine Haustiere kein kerzenlicht .Keine Besucher ohne Absprache!,TÃ¤glich,"Pool (per Absprache), Garten, FahrrÃ¤der, Parkplatz",Dachgeschosswohnung fÃ¼r 1-2Pers. Ca 20Min zum Alex,"Mit Klima, eignen Parkplatz, BettwÃ¤sche & Gartennutzung inklusive. Poolnutzung mÃ¶glich nach Absprache.Separater Eingang zum Wohnbereich!Preis  ist fÃ¼r  eine Person. 3 Personen  ist mÃ¶glich. Mit eigene KÃ¼che .",Separater Eingang zum Wohnbereich. Eigener Wohnbereich fÃ¼r die GÃ¤ste. Ausgebautes Dachgeschoss.,none,FÃ¼r die Endreinigung fallen 25EUR an.,Autobus und StraÃŸenbahn in der NÃ¤he erreichbar in ca.3minuten.,"Mit Klima, eignen Parkplatz, BettwÃ¤sche & Gartennutzung inklusive. Poolnutzung mÃ¶glich nach Absprache.Separater Eingang zum Wohnbereich!Preis  ist fÃ¼r  eine Person. 3 Personen  ist mÃ¶glich. Mit eigene KÃ¼che . Separater Eingang zum Wohnbereich. Eigener Wohnbereich fÃ¼r die GÃ¤ste. Ausgebautes Dachgeschoss. Pool (per Absprache), Garten, FahrrÃ¤der, Parkplatz TÃ¤glich Ruhe & Natur Autobus und StraÃŸenbahn in der NÃ¤he erreichbar in ca.3minuten. FÃ¼r die Endreinigung fallen 25EUR an.",1
10941394,10941394,https://www.airbnb.com/rooms/10941394,10941394,19-09-2019,f,f,3,3,0,0,0,29966940,10941394,10941394,10941394,10941394,10941394,10941394,"Das Hausboot ist ein Nichtraucherobjekt/Haustiere sind leider nicht erlaubt. StraÃŸenschuhe bzw. Schuhe mit AbsÃ¤tzen sind auf dem Hausboot nicht erlaubt. Bei Buchung des Hausbootes wird wie bei der Anmietung eines Autos, ein Vertrag (Chartervertrag) notwendig, fÃ¼r die Anfertigung benÃ¶tige ich den kompletten Namen und die Anschrift aller Teilnehmer. Ebenfalls wird fÃ¼r die Bereitstellung der Rettungswesten das KÃ¶rpergewicht eines jeden Teilnehmers erforderlich.  FÃ¼r die Charterunterweisung/Charterbescheinigung (falls notwendig) kÃ¶nnen weitere Kosten entstehen!!!",Ich stehe fÃ¼r Fragen gern vor/wÃ¤hrend und nach dem Aufenthalt fÃ¼r Fragen und Anliegen zur VerfÃ¼gung.,,Hausboot Duval 3 - mit und ohne FÃ¼hrerschein!,"Komfortabel ausgestattetes Hausboot fÃ¼r stilvolle Ferien auf dem Wasser! Das Hausboot ist 12 Meter lang und mit allem ausgestattet, was man fÃ¼r erholsame Ferien braucht.  Dieses Hausboot ist mit zwei 7,5 PS-Motoren ausgestattet,  mit 15 PS fahren Sie fÃ¼hrerscheinfrei. Da das Steuern eines Hausbootes zu vergleichen ist mit der Fahrt mit einem LKW,  ist eine eingehende Ein-/Unterweisung dennoch notwendig, diese kann je nach Vorerfahrung/Dauer kostenpflichtig (EUR 60,--) sein.",Komfortabel ausgestattetes Hausboot fÃ¼r stilvolle Ferien auf dem Wasser! Bitte fordern Sie sich meine umfangreiche Inventarliste an (kann nur per Mail versendet werden),none,,,"Komfortabel ausgestattetes Hausboot fÃ¼r stilvolle Ferien auf dem Wasser! Das Hausboot ist 12 Meter lang und mit allem ausgestattet, was man fÃ¼r erholsame Ferien braucht.  Dieses Hausboot ist mit zwei 7,5 PS-Motoren ausgestattet,  mit 15 PS fahren Sie fÃ¼hrerscheinfrei. Da das Steuern eines Hausbootes zu vergleichen ist mit der Fahrt mit einem LKW,  ist eine eingehende Ein-/Unterweisung dennoch notwendig, diese kann je nach Vorerfahrung/Dauer kostenpflichtig (EUR 60,--) sein. Komfortabel ausgestattetes Hausboot fÃ¼r stilvolle Ferien auf dem Wasser! Bitte fordern Sie sich meine umfangreiche Inventarliste an (kann nur per Mail versendet werden) Ich stehe fÃ¼r Fragen gern vor/wÃ¤hrend und nach dem Aufenthalt fÃ¼r Fragen und Anliegen zur VerfÃ¼gung.",1
12567634,12567634,https://www.airbnb.com/rooms/12567634,12567634,19-09-2019,f,f,1,0,1,0,0,68124661,12567634,12567634,12567634,12567634,12567634,12567634,,,,Cute Studio in Berlin,"This recently renovated studio is equipped with a double bed, a single bed as well as a couch you could sleep on if you don't mind that kind of thing :D It is located very close to the S-Bahn station and it takes 20 minutes with the public transport to get to the center.  There is only cable Internet but you can easily share the connection and use as Wi-Fi ;)",,none,,,"This recently renovated studio is equipped with a double bed, a single bed as well as a couch you could sleep on if you don't mind that kind of thing :D It is located very close to the S-Bahn station and it takes 20 minutes with the public transport to get to the center.  There is only cable Internet but you can easily share the connection and use as Wi-Fi ;)",1
13465012,13465012,https://www.airbnb.com/rooms/13465012,13465012,19-09-2019,f,f,1,0,0,1,2,15415025,13465012,13465012,13465012,13465012,13465012,13465012,Rauchen auf dem Balkon / Smoking at the balcony,I'm available during your whole stay. Most of the time one of us is there. We are also happy to share a drink with you in the evening on our gorgeous balcony = ),You have access to the whole floor. Simply feel like home = ),easy-going community flat at the edge of Berlin,Our apartment is right next to a big park with a small lake. The area is quiet and it's great to have a cup of coffee in the morning on the green balcony. The apartement is good for all of you who enjoy live and don't take everything too seriously = ),The Space is the attic of a detached house at the very border of Berlin. We have a community flat with 3 guys here. We are speaking English as much as we are speaking German.,none,,We are in the walking distance of 15min from the next S Bahn station (S Ahrensfelde). You are walking straight through a nice park and here we are. The next grocery store is 10min away. From S Ahrensfelde it takes 30min to S Alexanderplatz.,Our apartment is right next to a big park with a small lake. The area is quiet and it's great to have a cup of coffee in the morning on the green balcony. The apartement is good for all of you who enjoy live and don't take everything too seriously = ) The Space is the attic of a detached house at the very border of Berlin. We have a community flat with 3 guys here. We are speaking English as much as we are speaking German. You have access to the whole floor. Simply feel like home = ) I'm available during your whole stay. Most of the time one of us is there. We are also happy to share a drink with you in the evening on our gorgeous balcony = ) It's amazing quite hier. Near by is a nature reserve and a field with great long-hair highland cattle. We are in the walking distance of 15min from the next S Bahn station (S Ahrensfelde). You are walking straight through a nice park and here we are. The next grocery store is 10min away. From S Ahrensfelde it takes 30min to S Alexanderplatz.,1
14259993,14259993,https://www.airbnb.com/rooms/14259993,14259993,19-09-2019,f,f,1,0,1,0,2,83693578,14259993,14259993,14259993,14259993,14259993,14259993,,Ich stehe natÃ¼rlich meinen GÃ¤sten als Ansprechpartner zur VerfÃ¼gung,"Die GÃ¤ste haben Zugang zur KÃ¼che, zum Hauswirtschaftsraum ( Waschmaschine) zur Terasse zu ihrem Zimmer und dem eignen separaten Bad. Die GÃ¤ste bekommen von mir eine HausschlÃ¼ssel und haben jederzeit Zugang",Zimmer im GrÃ¼nen mit separatem Bad,"The room is located in a city villa, about 12 kilometers from the city center. With the S-Bahn (line S2 or S8) or the bus (line 150, 154 or 158) you are in about 25 minutes in the city center. I rent a large room with a double bed, as well as a separate bathroom. The villa is located in a quiet residential area and you can, after enjoying the hectic city life, relax in my garden and on the terrace. If necessary, I provide two bicycles available",,none,,,"The room is located in a city villa, about 12 kilometers from the city center. With the S-Bahn (line S2 or S8) or the bus (line 150, 154 or 158) you are in about 25 minutes in the city center. I rent a large room with a double bed, as well as a separate bathroom. The villa is located in a quiet residential area and you can, after enjoying the hectic city life, relax in my garden and on the terrace. If necessary, I provide two bicycles available Die GÃ¤ste haben Zugang zur KÃ¼che, zum Hauswirtschaftsraum ( Waschmaschine) zur Terasse zu ihrem Zimmer und dem eignen separaten Bad. Die GÃ¤ste bekommen von mir eine HausschlÃ¼ssel und haben jederzeit Zugang Ich stehe natÃ¼rlich meinen GÃ¤sten als Ansprechpartner zur VerfÃ¼gung",1
15001954,15001954,https://www.airbnb.com/rooms/15001954,15001954,19-09-2019,f,f,1,1,0,0,0,94621473,15001954,15001954,15001954,15001954,15001954,15001954,- Kinderbett kann im extra Raum aufgestellt werden -wir wÃ¼rden aufpgrund der GrÃ¶ÃŸe der Wohnung eine mindset Aufenthaltsdauer Von 20 Tagen anstreben. -Rauchen nur auf der Terasse... -laute Musik nur bis. 22.00 Uhr,,,Gepflegtes  Haus zwischen Wald und Wald,"Meine Unterkunft ist in der NÃ¤he von Wald, Strand und familienfreundliche AktivitÃ¤ten,abseits vom Rummel , aber doch in 20min In der Stadt .Du wirst meine Unterkunft lieben wegen die Lage, Platz im Freien und Umgebung. Meine Unterkunft ist gut fÃ¼r GeschÃ¤ftsreisenden und Familien  (mit kindern). PrÃ¤ferenz haben Langzeitvermietungen.",Das ist ein ganzes Haus ohne andere Mieter,none,,Bus 222 zur City Berlin-Tegel  alle  10-20 Minuten,"Meine Unterkunft ist in der NÃ¤he von Wald, Strand und familienfreundliche AktivitÃ¤ten,abseits vom Rummel , aber doch in 20min In der Stadt .Du wirst meine Unterkunft lieben wegen die Lage, Platz im Freien und Umgebung. Meine Unterkunft ist gut fÃ¼r GeschÃ¤ftsreisenden und Familien  (mit kindern). PrÃ¤ferenz haben Langzeitvermietungen. Das ist ein ganzes Haus ohne andere Mieter Bus 222 zur City Berlin-Tegel  alle  10-20 Minuten",1
